language,row_index,method,label_idx,token_count,naopc,elapsed_time_seconds,text_snippet
jav,0,loo,3,15,0.23485152471993231,0.7338,Paling nyesek dadi TNI kui Nek...
jav,0,shap,3,15,0.2195523264641301,3.8468,Paling nyesek dadi TNI kui Nek...
jav,0,lime,3,15,0.23485152471993231,106.4688,Paling nyesek dadi TNI kui Nek...
jav,0,marginalization,3,15,0.19305386154280824,4.0638,Paling nyesek dadi TNI kui Nek...
jav,0,plex,3,15,0.27343699388193626,3.6148,Paling nyesek dadi TNI kui Nek...
jav,1,loo,3,7,0.4747023960520416,0.3431,"hok ternyata ngising ing kali,..."
jav,1,shap,3,7,0.49611605071471665,0.978,"hok ternyata ngising ing kali,..."
jav,1,lime,3,7,0.4747023960520416,100.3135,"hok ternyata ngising ing kali,..."
jav,1,marginalization,3,7,0.5403399579746894,2.033,"hok ternyata ngising ing kali,..."
jav,1,plex,3,7,0.5403399579746894,1.9037,"hok ternyata ngising ing kali,..."
jav,2,loo,3,9,0.3612251796198692,0.4449,Ora nyangka aku wong Jawa teng...
jav,2,shap,3,9,0.3512671943912296,1.615,Ora nyangka aku wong Jawa teng...
jav,2,lime,3,9,0.3612251796198692,104.1256,Ora nyangka aku wong Jawa teng...
jav,2,marginalization,3,9,0.27788349835468684,2.5958,Ora nyangka aku wong Jawa teng...
jav,2,plex,3,9,0.3984512706469843,2.4186,Ora nyangka aku wong Jawa teng...
jav,3,loo,3,14,0.4011498901717236,0.6886,"Suwun yo Bayu, film iki ngobat..."
jav,3,shap,3,14,0.40834031329901327,3.5825,"Suwun yo Bayu, film iki ngobat..."
jav,3,lime,3,14,0.4011498901717236,108.8689,"Suwun yo Bayu, film iki ngobat..."
jav,3,marginalization,3,14,0.31280015395984867,3.8094,"Suwun yo Bayu, film iki ngobat..."
jav,3,plex,3,14,0.285193841315875,3.5747,"Suwun yo Bayu, film iki ngobat..."
jav,4,loo,3,30,0.16203878649292836,1.4493,duhhh telat banget tau lagu ik...
jav,4,shap,3,30,0.16203878649292836,13.1846,duhhh telat banget tau lagu ik...
jav,4,lime,3,30,0.16203878649292836,114.1736,duhhh telat banget tau lagu ik...
jav,4,marginalization,3,30,0.16557852088680414,9.1227,duhhh telat banget tau lagu ik...
jav,4,plex,3,30,0.16574391762797347,8.3271,duhhh telat banget tau lagu ik...
jav,5,loo,4,9,1.0,0.4222,"Kapan biso kaya sampean , joss..."
jav,5,shap,4,9,1.0,1.4213,"Kapan biso kaya sampean , joss..."
jav,5,lime,4,9,1.0,101.3673,"Kapan biso kaya sampean , joss..."
jav,5,marginalization,4,9,1.0,2.3467,"Kapan biso kaya sampean , joss..."
