language,row_index,method,label_idx,token_count,naopc,elapsed_time_seconds,text_snippet
eng,0,loo,3,24,0.1798204429309237,2.3146,Like a bomb exploded in my bra...
eng,0,shap,3,24,0.21011540727453493,19.6155,Like a bomb exploded in my bra...
eng,0,lime,3,24,0.1798204429309237,111.3542,Like a bomb exploded in my bra...
eng,0,marginalization,3,24,0.14708757146795476,6.6887,Like a bomb exploded in my bra...
eng,0,plex,3,24,0.21198601574794318,5.7139,Like a bomb exploded in my bra...
eng,1,loo,3,31,0.32050562667314436,1.4855,I said I didn't cry very often...
eng,1,shap,3,31,0.32050562667314436,13.2266,I said I didn't cry very often...
eng,1,lime,3,31,0.32050562667314436,114.2668,I said I didn't cry very often...
eng,1,marginalization,3,31,0.20762877011915323,9.0325,I said I didn't cry very often...
eng,1,plex,3,31,0.2429521915813944,8.0585,I said I didn't cry very often...
eng,2,loo,3,14,0.44848624557137257,0.6827,Showcasing my smiles and cheer...
eng,2,shap,3,14,0.44848624557137257,4.0495,Showcasing my smiles and cheer...
eng,2,lime,3,14,0.44848624557137257,106.0879,Showcasing my smiles and cheer...
eng,2,marginalization,3,14,0.39331938641180975,3.66,Showcasing my smiles and cheer...
eng,2,plex,3,14,0.36967643323029425,3.4615,Showcasing my smiles and cheer...
eng,3,loo,3,23,0.10931208448624219,1.1967,I sustained my first major inj...
eng,3,shap,3,23,0.10931208448624219,9.5848,I sustained my first major inj...
eng,3,lime,3,23,0.10931208448624219,109.6645,I sustained my first major inj...
eng,3,marginalization,3,23,0.07727617549589987,6.2467,I sustained my first major inj...
eng,3,plex,3,23,0.14979888569136923,5.7844,I sustained my first major inj...
eng,4,loo,3,4,0.7206905604489291,0.2065,Really tearing into it....
eng,4,shap,3,4,0.5662052202450231,0.3708,Really tearing into it....
eng,4,lime,3,4,0.7206905604489291,85.513,Really tearing into it....
eng,4,marginalization,3,4,0.5131470171705305,0.9652,Really tearing into it....
eng,4,plex,3,4,0.6727962423546339,0.9062,Really tearing into it....
eng,5,loo,3,20,0.22534887208602783,0.9585,With my eye primarily on Short...
eng,5,shap,3,20,0.3061723016937921,7.4733,With my eye primarily on Short...
eng,5,lime,3,20,0.22534887208602783,110.6007,With my eye primarily on Short...
eng,5,marginalization,3,20,0.18640432246105038,5.2257,With my eye primarily on Short...
eng,5,plex,3,20,0.27783648664549343,4.7879,With my eye primarily on Short...
eng,6,loo,3,19,0.17428222775737356,0.908,I knew there wasn't enough con...
eng,6,shap,3,19,0.17428222775737356,7.9587,I knew there wasn't enough con...
eng,6,lime,3,19,0.17428222775737356,109.4535,I knew there wasn't enough con...
eng,6,marginalization,3,19,0.09206230336919018,5.069,I knew there wasn't enough con...
eng,6,plex,3,19,0.16391265688343293,4.6589,I knew there wasn't enough con...
eng,7,loo,3,11,0.3496279105882529,0.5142,The sound of water came to my ...
eng,7,shap,3,11,0.42316752437592603,2.361,The sound of water came to my ...
eng,7,lime,3,11,0.3496279105882529,104.1226,The sound of water came to my ...
eng,7,marginalization,3,11,0.30525028864228776,3.1924,The sound of water came to my ...
eng,7,plex,3,11,0.3493717389359292,2.9049,The sound of water came to my ...
eng,8,loo,3,7,0.34423604067317054,0.3534,My dad has never had a headach...
eng,8,shap,3,7,0.3077948628034272,1.027,My dad has never had a headach...
eng,8,lime,3,7,0.34423604067317054,98.2394,My dad has never had a headach...
eng,8,marginalization,3,7,0.14285714285714285,1.8541,My dad has never had a headach...
eng,8,plex,3,7,0.34423604067317054,1.6766,My dad has never had a headach...
eng,9,loo,3,5,0.2968771800951903,0.2493,My knees hurt so much....
eng,9,shap,3,5,0.4226377410312692,0.5754,My knees hurt so much....
eng,9,lime,3,5,0.2968771800951903,90.1156,My knees hurt so much....
eng,9,marginalization,3,5,0.2866712779741542,1.2444,My knees hurt so much....
eng,9,plex,3,5,0.29415789679239795,1.1874,My knees hurt so much....
eng,10,loo,3,7,0.29308971322156846,0.3373,The first semester I did just ...
eng,10,shap,3,7,0.31234199379346667,0.9708,The first semester I did just ...
eng,10,lime,3,7,0.29308971322156846,97.4149,The first semester I did just ...
eng,10,marginalization,3,7,0.4808991493038579,1.8988,The first semester I did just ...
eng,10,plex,3,7,0.4232760133474901,1.7081,The first semester I did just ...
eng,11,loo,3,4,0.8496322208797793,0.2012,Threw cigarette out window....
eng,11,shap,3,4,0.5547854553437319,0.3709,Threw cigarette out window....
eng,11,lime,3,4,0.8496322208797793,83.5511,Threw cigarette out window....
eng,11,marginalization,3,4,0.25,0.9608,Threw cigarette out window....
eng,11,plex,3,4,0.7076818022256832,0.9172,Threw cigarette out window....
eng,12,loo,3,6,0.3630951925533749,0.2938,We still talk all the time...
eng,12,shap,3,6,0.5430100732894413,0.7954,We still talk all the time...
eng,12,lime,3,6,0.3630951925533749,92.3497,We still talk all the time...
eng,12,marginalization,3,6,0.44727232646438847,1.439,We still talk all the time...
eng,12,plex,3,6,0.3195204830520309,1.3369,We still talk all the time...
eng,13,loo,3,19,0.3336889474495193,0.8865,i probably washed my hands abo...
eng,13,shap,3,19,0.32203865413944766,7.6992,i probably washed my hands abo...
eng,13,lime,3,19,0.3336889474495193,108.4332,i probably washed my hands abo...
eng,13,marginalization,3,19,0.3494063477726753,4.8967,i probably washed my hands abo...
eng,13,plex,3,19,0.3684481110609725,4.5372,i probably washed my hands abo...
eng,14,loo,3,23,0.15389167353795158,1.0872,=;; I was using a boxcutter to...
eng,14,shap,3,23,0.11977479541678708,9.8144,=;; I was using a boxcutter to...
eng,14,lime,3,23,0.15389167353795158,110.4661,=;; I was using a boxcutter to...
eng,14,marginalization,3,23,0.11574786485613985,6.1662,=;; I was using a boxcutter to...
eng,14,plex,3,23,0.10464190837600212,5.6329,=;; I was using a boxcutter to...
eng,15,loo,3,12,0.2014740393052703,0.5626,"Sebastian loved his job, but a..."
eng,15,shap,3,12,0.2014740393052703,3.4903,"Sebastian loved his job, but a..."
eng,15,lime,3,12,0.2014740393052703,104.116,"Sebastian loved his job, but a..."
eng,15,marginalization,3,12,0.24147969656900095,2.9602,"Sebastian loved his job, but a..."
eng,15,plex,3,12,0.23061605733450755,2.6807,"Sebastian loved his job, but a..."
eng,16,loo,3,12,0.4913210424221337,0.5576,Got forcibly taken to the hosp...
eng,16,shap,3,12,0.21033038934930395,2.7311,Got forcibly taken to the hosp...
eng,16,lime,3,12,0.4913210424221337,104.5609,Got forcibly taken to the hosp...
eng,16,marginalization,3,12,0.46096956105283265,3.0226,Got forcibly taken to the hosp...
eng,16,plex,3,12,0.5376881991169568,2.8029,Got forcibly taken to the hosp...
eng,17,loo,3,15,0.17457539256690818,0.6986,Every time I swiped for it it ...
eng,17,shap,3,15,0.17591813445844984,4.2595,Every time I swiped for it it ...
eng,17,lime,3,15,0.17457539256690818,106.0176,Every time I swiped for it it ...
eng,17,marginalization,3,15,0.14856954807264647,3.8533,Every time I swiped for it it ...
eng,17,plex,3,15,0.23406450094161638,3.7058,Every time I swiped for it it ...
eng,18,loo,3,9,0.3387386329165419,0.4284,I stopped rising about two fee...
eng,18,shap,3,9,0.3386540696616945,1.553,I stopped rising about two fee...
eng,18,lime,3,9,0.3387386329165419,99.3721,I stopped rising about two fee...
eng,18,marginalization,3,9,0.34146895667504035,2.2835,I stopped rising about two fee...
eng,18,plex,3,9,0.40145458306573933,2.1345,I stopped rising about two fee...
eng,19,loo,3,22,0.19604406258495213,1.0157,I am trying to shrug it off as...
eng,19,shap,3,22,0.1711983213579443,9.1004,I am trying to shrug it off as...
eng,19,lime,3,22,0.19604406258495213,106.3403,I am trying to shrug it off as...
eng,19,marginalization,3,22,0.2360651082524577,5.6124,I am trying to shrug it off as...
eng,19,plex,3,22,0.3364240306750153,5.191,I am trying to shrug it off as...
eng,20,loo,3,16,0.09965152372584239,0.7415,I woke up that morning feeling...
eng,20,shap,3,16,0.10874325242721379,4.6713,I woke up that morning feeling...
eng,20,lime,3,16,0.09965152372584239,105.3723,I woke up that morning feeling...
eng,20,marginalization,3,16,0.06832492407093492,4.0044,I woke up that morning feeling...
eng,20,plex,3,16,0.0729737944618116,3.6999,I woke up that morning feeling...
eng,21,loo,5,4,1.0,0.1947,Than I let loose....
eng,21,shap,5,4,1.0,0.3513,Than I let loose....
eng,21,lime,5,4,1.0,83.5635,Than I let loose....
eng,21,marginalization,5,4,0.917817900428559,0.9204,Than I let loose....
eng,21,plex,5,4,1.0,0.8764,Than I let loose....
eng,22,loo,3,36,0.3872491948505125,1.6264,The staff offered to help us t...
eng,22,shap,3,36,0.3872491948505125,13.0748,The staff offered to help us t...
eng,22,lime,3,36,0.3872491948505125,110.9618,The staff offered to help us t...
eng,22,marginalization,3,36,0.21158727935311933,10.578,The staff offered to help us t...
eng,22,plex,3,36,0.4583863395200462,9.6083,The staff offered to help us t...
eng,23,loo,3,16,0.22294292608144428,0.747,"Now, my ""food"" consisted mainl..."
eng,23,shap,3,16,0.26471655207213873,4.5457,"Now, my ""food"" consisted mainl..."
eng,23,lime,3,16,0.22294292608144428,105.8576,"Now, my ""food"" consisted mainl..."
eng,23,marginalization,3,16,0.2744621863787388,4.0751,"Now, my ""food"" consisted mainl..."
eng,23,plex,3,16,0.2176359899190177,3.8177,"Now, my ""food"" consisted mainl..."
eng,24,loo,3,8,0.5019058892612859,0.4043,She once put something under o...
eng,24,shap,3,8,0.30329493691024867,1.2271,She once put something under o...
eng,24,lime,3,8,0.5019058892612859,97.8359,She once put something under o...
eng,24,marginalization,3,8,0.6955792917994568,2.1026,She once put something under o...
eng,24,plex,3,8,0.6109872689165258,1.9397,She once put something under o...
eng,25,loo,3,19,0.2979011592070583,0.9502,I can almost breath the air no...
eng,25,shap,3,19,0.08392002857961699,6.5643,I can almost breath the air no...
eng,25,lime,3,19,0.2979011592070583,105.6833,I can almost breath the air no...
eng,25,marginalization,3,19,0.2464416399443982,4.8836,I can almost breath the air no...
eng,25,plex,3,19,0.37898128443435486,4.5605,I can almost breath the air no...
eng,26,loo,3,16,0.3801049087786108,0.7979,Her eyes were smashed and mang...
eng,26,shap,3,16,0.11433845479601709,5.0586,Her eyes were smashed and mang...
eng,26,lime,3,16,0.3801049087786108,105.1886,Her eyes were smashed and mang...
eng,26,marginalization,3,16,0.0700627926142935,4.1018,Her eyes were smashed and mang...
eng,26,plex,3,16,0.21144591811325592,3.7544,Her eyes were smashed and mang...
eng,27,loo,3,4,1.0,0.2075,The class is silent....
eng,27,shap,3,4,1.0,0.359,The class is silent....
eng,27,lime,3,4,1.0,82.8802,The class is silent....
eng,27,marginalization,3,4,0.8689037701854997,0.9315,The class is silent....
eng,27,plex,3,4,1.0,0.8819,The class is silent....
eng,28,loo,3,6,0.6316599899486074,0.285,My cheeks more red than before...
eng,28,shap,3,6,0.5168640287170158,0.7777,My cheeks more red than before...
eng,28,lime,3,6,0.6316599899486074,92.1382,My cheeks more red than before...
eng,28,marginalization,3,6,0.5013867571259266,1.506,My cheeks more red than before...
eng,28,plex,3,6,0.5863488782192782,1.3901,My cheeks more red than before...
eng,29,loo,3,16,0.47834486418739564,0.8271,I immediately start get nervou...
eng,29,shap,3,16,0.312324668894336,4.9137,I immediately start get nervou...
eng,29,lime,3,16,0.47834486418739564,105.5367,I immediately start get nervou...
eng,29,marginalization,3,16,0.37055790889455426,4.0357,I immediately start get nervou...
eng,29,plex,3,16,0.37127236052455875,3.7256,I immediately start get nervou...
eng,30,loo,3,13,0.12939358968949646,0.6016,Peeled off the jeans that were...
eng,30,shap,3,13,0.13653359606425036,3.7139,Peeled off the jeans that were...
eng,30,lime,3,13,0.12939358968949646,103.3888,Peeled off the jeans that were...
eng,30,marginalization,3,13,0.1675269450977655,3.1303,Peeled off the jeans that were...
eng,30,plex,3,13,0.11577956457293395,2.9336,Peeled off the jeans that were...
eng,31,loo,3,9,0.46748632567130805,0.4299,Both my hands and my left leg ...
eng,31,shap,3,9,0.1826532596728669,1.7436,Both my hands and my left leg ...
eng,31,lime,3,9,0.46748632567130805,97.4616,Both my hands and my left leg ...
eng,31,marginalization,3,9,0.19021141306953573,2.5038,Both my hands and my left leg ...
eng,31,plex,3,9,0.3310339101584492,2.3114,Both my hands and my left leg ...
eng,32,loo,3,4,0.7315979531380025,0.2121,I watched her die....
eng,32,shap,3,4,0.7354411566056587,0.3582,I watched her die....
eng,32,lime,3,4,0.7315979531380025,83.3535,I watched her die....
eng,32,marginalization,3,4,0.6694839987339335,0.926,I watched her die....
eng,32,plex,3,4,0.7818300213120176,0.8647,I watched her die....
eng,33,loo,3,19,0.32453310251079104,0.884,But then I still feel slight d...
eng,33,shap,3,19,0.1965626889676588,6.5112,But then I still feel slight d...
eng,33,lime,3,19,0.32453310251079104,106.2315,But then I still feel slight d...
eng,33,marginalization,3,19,0.1531587226030719,4.8406,But then I still feel slight d...
eng,33,plex,3,19,0.33351858283715946,4.4483,But then I still feel slight d...
eng,34,loo,3,11,0.233514158318599,0.5357,"I was wedged in so tight, I co..."
eng,34,shap,3,11,0.233514158318599,2.9131,"I was wedged in so tight, I co..."
eng,34,lime,3,11,0.233514158318599,99.5026,"I was wedged in so tight, I co..."
eng,34,marginalization,3,11,0.2795977582001705,2.6785,"I was wedged in so tight, I co..."
eng,34,plex,3,11,0.22234720312662373,2.3825,"I was wedged in so tight, I co..."
eng,35,loo,3,7,0.312481874086049,0.3214,I think I narrowly avoided an ...
eng,35,shap,3,7,0.4894036469023012,0.9339,I think I narrowly avoided an ...
eng,35,lime,3,7,0.312481874086049,93.2729,I think I narrowly avoided an ...
eng,35,marginalization,3,7,0.27922851570763585,1.9834,I think I narrowly avoided an ...
eng,35,plex,3,7,0.28629451454639365,1.7692,I think I narrowly avoided an ...
eng,36,loo,3,8,0.30425422070570113,0.378,It was pouring out with thunde...
eng,36,shap,3,8,0.15961711822379207,1.5223,It was pouring out with thunde...
eng,36,lime,3,8,0.30425422070570113,98.6176,It was pouring out with thunde...
eng,36,marginalization,3,8,0.22560405220095414,2.2568,It was pouring out with thunde...
eng,36,plex,3,8,0.3546856296290298,2.0444,It was pouring out with thunde...
eng,37,loo,5,31,1.0,1.4619,Later on throughout the day I ...
eng,37,shap,5,31,1.0,12.828,Later on throughout the day I ...
eng,37,lime,5,31,1.0,110.0104,Later on throughout the day I ...
eng,37,marginalization,5,31,1.0,8.4046,Later on throughout the day I ...
eng,37,plex,5,31,1.0,7.7557,Later on throughout the day I ...
eng,38,loo,3,15,0.4713162319164509,0.7018,So I had my little memory trip...
eng,38,shap,3,15,0.19131991516308514,4.6353,So I had my little memory trip...
eng,38,lime,3,15,0.4713162319164509,104.5207,So I had my little memory trip...
eng,38,marginalization,3,15,0.3198166404468779,3.7234,So I had my little memory trip...
eng,38,plex,3,15,0.3729610879379727,3.4054,So I had my little memory trip...
eng,39,loo,3,9,0.1573349007862988,0.4181,I'm too scared to get off the ...
eng,39,shap,3,9,0.1573349007862988,2.1237,I'm too scared to get off the ...
eng,39,lime,3,9,0.1573349007862988,98.5164,I'm too scared to get off the ...
eng,39,marginalization,3,9,0.15029781617705212,2.213,I'm too scared to get off the ...
eng,39,plex,3,9,0.13736396219348804,2.0479,I'm too scared to get off the ...
eng,40,loo,3,4,0.3549030671653997,0.2164,Everything just flashed dark....
eng,40,shap,3,4,0.25,0.4003,Everything just flashed dark....
eng,40,lime,3,4,0.3549030671653997,82.8197,Everything just flashed dark....
eng,40,marginalization,3,4,0.25,0.9379,Everything just flashed dark....
eng,40,plex,3,4,0.3549030671653997,0.87,Everything just flashed dark....
eng,41,loo,3,8,0.2419721149139562,0.3716,I'm still trying to figure tha...
eng,41,shap,3,8,0.2419721149139562,1.7145,I'm still trying to figure tha...
eng,41,lime,3,8,0.2419721149139562,98.5796,I'm still trying to figure tha...
eng,41,marginalization,3,8,0.2018911122260858,2.227,I'm still trying to figure tha...
eng,41,plex,3,8,0.2254986335500827,2.1095,I'm still trying to figure tha...
eng,42,loo,3,12,0.2604037755212337,0.5712,"So this morning, these two con..."
eng,42,shap,3,12,0.1654124871564665,2.6624,"So this morning, these two con..."
eng,42,lime,3,12,0.2604037755212337,102.6832,"So this morning, these two con..."
eng,42,marginalization,3,12,0.31420433257427216,2.8517,"So this morning, these two con..."
