language,row_index,method,label_idx,token_count,naopc,elapsed_time_seconds,text_snippet
eng,0,loo,0,24,0.16604070922268022,2.3538,Like a bomb exploded in my bra...
eng,0,shap,0,24,0.20921571796360167,25.6247,Like a bomb exploded in my bra...
eng,0,lime,0,24,0.16604070922268022,232.1075,Like a bomb exploded in my bra...
eng,0,marginalization,0,24,0.31275766238410646,10.1676,Like a bomb exploded in my bra...
eng,0,plex,0,24,0.27160245330121796,9.1562,Like a bomb exploded in my bra...
eng,1,loo,3,31,0.6962211985183704,3.0814,I said I didn't cry very often...
eng,1,shap,3,31,0.6962211985183704,27.8888,I said I didn't cry very often...
eng,1,lime,3,31,0.6962211985183704,235.5675,I said I didn't cry very often...
eng,1,marginalization,3,31,0.7931355390464375,13.5082,I said I didn't cry very often...
eng,1,plex,3,31,0.8001170650098515,12.0572,I said I didn't cry very often...
eng,2,loo,3,14,0.27540900539203567,1.3481,Showcasing my smiles and cheer...
eng,2,shap,3,14,0.27540900539203567,8.4953,Showcasing my smiles and cheer...
eng,2,lime,3,14,0.27540900539203567,219.1301,Showcasing my smiles and cheer...
eng,2,marginalization,3,14,0.30459118354301823,5.5395,Showcasing my smiles and cheer...
eng,2,plex,3,14,0.26824474056656655,4.9398,Showcasing my smiles and cheer...
eng,3,loo,0,23,0.3582130129126646,2.1711,I sustained my first major inj...
eng,3,shap,0,23,0.3582130129126646,19.3939,I sustained my first major inj...
eng,3,lime,0,23,0.3582130129126646,226.8054,I sustained my first major inj...
eng,3,marginalization,0,23,0.36488089060856216,9.549,I sustained my first major inj...
eng,3,plex,0,23,0.31754271274484114,8.6429,I sustained my first major inj...
eng,4,loo,0,4,0.32875341520462525,0.4116,Really tearing into it....
eng,4,shap,0,4,0.32875341520462525,0.7376,Really tearing into it....
eng,4,lime,0,4,0.32875341520462525,172.3378,Really tearing into it....
eng,4,marginalization,0,4,0.30369380347807606,1.5464,Really tearing into it....
eng,4,plex,0,4,0.3443715638738364,1.4073,Really tearing into it....
eng,5,loo,0,20,0.40040392392154994,1.9117,With my eye primarily on Short...
eng,5,shap,0,20,0.41922357316833175,15.1116,With my eye primarily on Short...
eng,5,lime,0,20,0.40040392392154994,224.0402,With my eye primarily on Short...
eng,5,marginalization,0,20,0.13774017858491933,8.1494,With my eye primarily on Short...
eng,5,plex,0,20,0.3320080680393745,7.2226,With my eye primarily on Short...
eng,6,loo,0,19,0.13189189932165338,1.8301,I knew there wasn't enough con...
eng,6,shap,0,19,0.13189189932165338,16.0352,I knew there wasn't enough con...
eng,6,lime,0,19,0.13189189932165338,224.0787,I knew there wasn't enough con...
eng,6,marginalization,0,19,0.07226879874582742,7.907,I knew there wasn't enough con...
eng,6,plex,0,19,0.0761329381682368,7.1157,I knew there wasn't enough con...
eng,7,loo,3,11,0.16645993732383027,1.0767,The sound of water came to my ...
eng,7,shap,3,11,0.22603668351392722,4.8894,The sound of water came to my ...
eng,7,lime,3,11,0.16645993732383027,214.2517,The sound of water came to my ...
eng,7,marginalization,3,11,0.1475477432396655,4.8294,The sound of water came to my ...
eng,7,plex,3,11,0.16188530691384143,4.3356,The sound of water came to my ...
eng,8,loo,3,7,0.5274678795081679,0.6851,My dad has never had a headach...
eng,8,shap,3,7,0.76515671216299,2.0715,My dad has never had a headach...
eng,8,lime,3,7,0.5274678795081679,200.0089,My dad has never had a headach...
eng,8,marginalization,3,7,0.4980239705470083,2.8871,My dad has never had a headach...
eng,8,plex,3,7,0.5274678795081679,2.5873,My dad has never had a headach...
eng,9,loo,0,5,0.40045311268650663,0.5118,My knees hurt so much....
eng,9,shap,0,5,0.39054246927925623,1.201,My knees hurt so much....
eng,9,lime,0,5,0.40045311268650663,186.2221,My knees hurt so much....
eng,9,marginalization,0,5,0.354085543662738,1.9772,My knees hurt so much....
eng,9,plex,0,5,0.3902266752872347,1.8067,My knees hurt so much....
eng,10,loo,3,7,0.4398734994681644,0.7749,The first semester I did just ...
eng,10,shap,3,7,0.549168773274434,2.1077,The first semester I did just ...
eng,10,lime,3,7,0.4398734994681644,201.3047,The first semester I did just ...
eng,10,marginalization,3,7,0.3689621983563626,2.8829,The first semester I did just ...
eng,10,plex,3,7,0.3952038681501552,2.6026,The first semester I did just ...
eng,11,loo,0,4,0.5514898906975779,0.4138,Threw cigarette out window....
eng,11,shap,0,4,0.545707043516466,0.7405,Threw cigarette out window....
eng,11,lime,0,4,0.5514898906975779,174.5204,Threw cigarette out window....
eng,11,marginalization,0,4,0.5514898906975779,1.5812,Threw cigarette out window....
eng,11,plex,0,4,0.5514898906975779,1.4575,Threw cigarette out window....
eng,12,loo,3,6,0.4746270867128773,0.6048,We still talk all the time...
eng,12,shap,3,6,0.5521400196072752,1.5913,We still talk all the time...
eng,12,lime,3,6,0.4746270867128773,196.5491,We still talk all the time...
eng,12,marginalization,3,6,0.32083498543240796,2.3359,We still talk all the time...
eng,12,plex,3,6,0.4057509666700755,2.0889,We still talk all the time...
eng,13,loo,0,19,0.3844015717127399,1.8616,i probably washed my hands abo...
eng,13,shap,0,19,0.3934451503374295,15.8821,i probably washed my hands abo...
