language,row_index,method,label_idx,token_count,naopc,elapsed_time_seconds,text_snippet
afr,0,loo,0,19,0.20889707588525266,1.9872,Ten laaste wil ek die Afrikaan...
afr,0,shap,0,19,0.23348895991900998,20.877,Ten laaste wil ek die Afrikaan...
afr,0,lime,0,19,0.20889707588525266,238.5596,Ten laaste wil ek die Afrikaan...
afr,0,marginalization,0,19,0.1666423001905014,8.5172,Ten laaste wil ek die Afrikaan...
afr,0,plex,0,19,0.240547730346549,7.5041,Ten laaste wil ek die Afrikaan...
afr,1,loo,3,17,0.44178184090549494,1.7706,Soos u sekerlik weet is verrei...
afr,1,shap,3,17,0.3433807213793421,11.2227,Soos u sekerlik weet is verrei...
afr,1,lime,3,17,0.44178184090549494,236.0464,Soos u sekerlik weet is verrei...
afr,1,marginalization,3,17,0.34777815104293064,7.4701,Soos u sekerlik weet is verrei...
afr,1,plex,3,17,0.4275906334245669,6.6754,Soos u sekerlik weet is verrei...
afr,2,loo,0,12,0.402376483825358,1.2239,Die verbeterings is sigbaar en...
afr,2,shap,0,12,0.42124833184533217,5.967,Die verbeterings is sigbaar en...
afr,2,lime,0,12,0.402376483825358,224.2766,Die verbeterings is sigbaar en...
afr,2,marginalization,0,12,0.36397879550100143,5.0773,Die verbeterings is sigbaar en...
afr,2,plex,0,12,0.4202051408787423,4.4731,Die verbeterings is sigbaar en...
afr,3,loo,0,17,0.16528475269400394,1.7275,Sy het hom gevra om die berig ...
afr,3,shap,0,17,0.16301626340662803,11.1513,Sy het hom gevra om die berig ...
afr,3,lime,0,17,0.16528475269400394,232.6488,Sy het hom gevra om die berig ...
afr,3,marginalization,0,17,0.18688469963944146,6.9991,Sy het hom gevra om die berig ...
afr,3,plex,0,17,0.18410321921741263,6.4141,Sy het hom gevra om die berig ...
afr,4,loo,0,14,0.40730926546975543,1.4049,En sy het hom gerusgestel en v...
afr,4,shap,0,14,0.40053769739083345,7.831,En sy het hom gerusgestel en v...
afr,4,lime,0,14,0.40730926546975543,229.8986,En sy het hom gerusgestel en v...
